wrong_name;official_name
-Sub-Bomberman Collection;- Sub_Selection - Bomberman Collection
-SubCol- Bomberman Collection;- Sub_Selection - Bomberman Collection
'''- SubCol ?  Bomberman Collection''';- Sub_Selection - Bomberman Collection
mrboom;- Sub_Selection - Bomberman Collection
- Sub ?  Borderlands Collection;- Sub_Selection - Borderlands Collection
-Sub-Borderlands Collection;- Sub_Selection - Borderlands Collection
-SubCol- Borderlands Collection;- Sub_Selection - Borderlands Collection
'''- SubCol ?  Borderlands Collection''';- Sub_Selection - Borderlands Collection
Borderlands Collection;- Sub_Selection - Borderlands Collection
- Sub ?  Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
-Sub-Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
-SubCol- Bubble Bobble Collection;- Sub_Selection - Bubble Bobble Collection
'''- SubCol ?  Bubble Bobble Collection''';- Sub_Selection - Bubble Bobble Collection
BUBBLE BOBBLE COLLECTION;- Sub_Selection - Bubble Bobble Collection
3 Capcom Fighters;- Sub_Selection - Capcom Fighter Collection
- Sub ?  Castlevania Collection;- Sub_Selection - Castlevania Collection
-Sub-Castlevania Collection;- Sub_Selection - Castlevania Collection
'-SubCol-  -SubCol-  -SubCol-Castlevania Collection''';- Sub_Selection - Castlevania Collection
-SubCol- Castlevania Collection;- Sub_Selection - Castlevania Collection
'-SubCol-Castlevania Collection''';- Sub_Selection - Castlevania Collection
'''- SubCol ?  Castlevania Collection''';- Sub_Selection - Castlevania Collection
castlevania;- Sub_Selection - Castlevania Collection
Castlevania Collection;- Sub_Selection - Castlevania Collection
- Sub ?  Cavestory Collection;- Sub_Selection - Cavestory Collection
-Sub-Cavestory Collection;- Sub_Selection - Cavestory Collection
-SubCol- Cavestory Collection;- Sub_Selection - Cavestory Collection
'''- SubCol ?  Cavestory Collection''';- Sub_Selection - Cavestory Collection
Cave Story;- Sub_Selection - Cavestory Collection
cavestory;- Sub_Selection - Cavestory Collection
- SubCol - Cavestory Collection;- Sub_Selection - Cavestory Collection
-SubCol- Clone Hero;- Sub_Selection - Clone Hero
'''- SubCol ? Clone Hero''';- Sub_Selection - Clone Hero
Clone Hero;- Sub_Selection - Clone Hero
- SubCol - Clone Hero;- Sub_Selection - Clone Hero
- Sub ?  Contra Collection;- Sub_Selection - Contra Collection
-Sub-Contra Collection;- Sub_Selection - Contra Collection
'-SubCol-  -SubCol-  -SubCol-Contra Collection''';- Sub_Selection - Contra Collection
-SubCol- Contra Collection;- Sub_Selection - Contra Collection
'''- SubCol ?  Contra Collection''';- Sub_Selection - Contra Collection
Contra Collection;- Sub_Selection - Contra Collection
- SubCol - Contra Collection;- Sub_Selection - Contra Collection
- Sub ?  Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
