rom_wrong_name;rom_official_name;alt_rom_official_name
The Anniversary Edition (Japan 040202);hsf2j;Hyper Street Fighter II
The Anniversary Edition (Japan 031222);hsf2j1;Hyper Street Fighter II
;hvnsgate;'Heaven''s Gate'
;jchan2;Jackie Chan in Fists of Fire
Legion of Heroes (Japan 971216);jgakuen;Shiritsu Justice Gakuen
Legion of Heroes (Japan 971117);jgakuen1;Shiritsu Justice Gakuen
;jojo;'JoJo''s Venture (Euro 990128)'
;jojoa;'JoJo''s Venture (Asia 990128)'
;jojoar1;'JoJo''s Venture (Asia 990108)'
;jojoar2;'JoJo''s Venture (Asia 981202)'
;jojoba;'JoJo''s Bizarre Adventure (Euro 990927)'
Mirai e no Isan (Japan 990927);jojobaj;JoJo no Kimyou na Bouken
Mirai e no Isan (Japan 990913);jojobajr1;JoJo no Kimyou na Bouken
Mirai e no Isan (Japan 990927, NO CD);jojoban;JoJo no Kimyou na Bouken
;jojobane;'JoJo''s Bizarre Adventure (Euro 990927, NO CD)'
;jojobaner1;'JoJo''s Bizarre Adventure (Euro 990913, NO CD)'
Mirai e no Isan (Japan 990913, NO CD);jojobanr1;JoJo no Kimyou na Bouken
;jojobar1;'JoJo''s Bizarre Adventure (Euro 990913)'
;jojoj;JoJo no Kimyou na Bouken (Japan 990128)
;jojojr1;JoJo no Kimyou na Bouken (Japan 990108)
;jojojr2;JoJo no Kimyou na Bouken (Japan 981202)
;jojon;'JoJo''s Venture (Asia 990128, NO CD)'
;jojonr1;'JoJo''s Venture (Asia 990108, NO CD)'
;jojonr2;'JoJo''s Venture (Asia 981202, NO CD)'
;jojor1;'JoJo''s Venture (Euro 990108)'
;jojor2;'JoJo''s Venture (Euro 981202)'
;jojou;'JoJo''s Venture (USA 990128)'
;jojour1;'JoJo''s Venture (USA 990108)'
;jojour2;'JoJo''s Venture (USA 981202)'
;kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den
;kaiserkn;Kaiser Knuckle (Ver 2.1O 1994/07/29)
;kaiserknj;Kaiser Knuckle (Ver 2.1J 1994/07/29)
;karatedo;Karate Dou (Japan)
;karatevs;Taisen Karate Dou (Japan VS version)
;karatour;The Karate Tournament
;karatourj;Chatan Yara Kuushanku - The Karate Tournament (Japan)
;karnovr;'Karnov''s Revenge / Fighter''s History Dynamite'
;kchamp;Karate Champ (US)
;kchampvs;Karate Champ (US VS version, set 1)
;kchampvs2;Karate Champ (US VS version, set 2)
;kchampvs3;Karate Champ (US VS version, set 3)
;kchampvs4;Karate Champ (US VS version, set 4)
;kf2k3pcb;The King of Fighters 2003 (Japan, JAMMA PCB)
